pop1	pop2	reg1	reg2	number_of_ind1	number_of_ind2	mpd_neanderthal	div_neanderthal	mpd_human	div_human	int_mean_frag_length	int_total_seq_length	int_number_of_frags	art1_mean_frag_length	art1_total_seq_length	art1_number_of_frags	art2_mean_frag_length	art2_total_seq_length	art2_number_of_frags	ratio
Karitiana	Brahui	AMR	SAS	12	25	28539.5	0.0003964700488997555	1675639.020915981	0.0007439725088952731	50692.957746478874	71984000	1420	89790.09566685425	159557000	1777	83963.44747979993	436442000	5198	0.4511491191235734
Surui	Brahui	AMR	SAS	8	25	26314.5	0.0004281634911078931	1675300.2770403284	0.0007438221088819669	53396.17723718505	61459000	1151	94387.41958541816	132048000	1399	83963.44747979993	436442000	5198	0.46542923785290197
Pima	Brahui	AMR	SAS	13	25	35931.0	0.00041026021625695073	1675987.0665826502	0.0007441270388415264	53862.853628536286	87581000	1626	90849.21014839636	189784000	2089	83963.44747979993	436442000	5198	0.46147725835686887
Maya	Brahui	AMR	SAS	21	25	49190.0	0.00038129122774380083	1679153.3500184796	0.0007455328474925686	52442.68292682927	129009000	2460	86030.21718602456	273318000	3177	83963.44747979993	436442000	5198	0.4720106249862797
Yakut	Brahui	EAS	SAS	25	25	61241.0	0.00035870927685296907	1683616.2849568045	0.0007475143607311937	52563.423645320196	170726000	3248	85160.19310950187	388075000	4557	83963.44747979993	436442000	5198	0.43993042581975134
Oroqen	Brahui	EAS	SAS	9	25	39674.5	0.00037236968070129334	1690255.49733741	0.000750462126586627	49144.83394833948	106546000	2168	83778.13504823152	260550000	3110	83963.44747979993	436442000	5198	0.4089272692381501
Daur	Brahui	EAS	SAS	9	25	41048.0	0.00037361537131258706	1691035.3213323695	0.0007508083632204036	51799.622819424796	109867000	2121	87494.140625	268782000	3072	83963.44747979993	436442000	5198	0.40875877104865654
Hezhen	Brahui	EAS	SAS	9	25	41003.5	0.0003807125215873429	1692948.506868434	0.0007516578047919361	50375.116931711884	107702000	2138	85640.29706167258	265228000	3097	83963.44747979993	436442000	5198	0.40607326526611065
Mongolian	Brahui	EAS	SAS	9	25	43951.0	0.000382388766117385	1690427.2264531993	0.0007505383731645171	50947.695035460994	114938000	2256	87875.03914813655	280585000	3193	83963.44747979993	436442000	5198	0.4096370083931785
Xibo	Brahui	EAS	SAS	9	25	43408.0	0.00037369467712359785	1690731.4376880263	0.0007506734409164513	51534.605146406386	116159000	2254	88987.14239794278	276839000	3111	83963.44747979993	436442000	5198	0.4195904478776473
Japanese	Brahui	EAS	SAS	27	25	48052.0	0.00036144542062823445	1694938.4703885023	0.0007525413352744299	46549.01960784314	132944000	2856	78430.189501198	360073000	4591	83963.44747979993	436442000	5198	0.36921402049028945
NorthernHan	Brahui	EAS	SAS	10	25	41245.5	0.0003756283924082911	1692848.6512333695	0.000751613469558381	49394.51192082771	109804000	2223	85439.47858472998	275286000	3222	83963.44747979993	436442000	5198	0.3988724453840733
Naxi	Brahui	EAS	SAS	8	25	37106.0	0.00037321344155778844	1694695.430964127	0.0007524334273968644	50648.49719816607	99423000	1963	88766.8252889191	261152000	2942	83963.44747979993	436442000	5198	0.38070931871094227
Yi	Brahui	EAS	SAS	10	25	42604.0	0.0003792213340928916	1696675.073016086	0.0007533123752166074	51136.09467455621	112346000	2197	87185.6014580802	287015000	3292	83963.44747979993	436442000	5198	0.3914290193892305
Tu	Brahui	EAS	SAS	10	25	46440.5	0.00038009281236188637	1690316.8806157676	0.0007504893803513303	51859.932088285226	122182000	2356	86606.52870883125	297147000	3431	83963.44747979993	436442000	5198	0.41118369022739587
Tujia	Brahui	EAS	SAS	9	25	39550.5	0.0003912249985162324	1696461.7593994688	0.000753217665398708	50145.833333333336	101094000	2016	89896.23908663532	267711000	2978	83963.44747979993	436442000	5198	0.37762363145332095
Cambodian	Brahui	EAS	SAS	9	25	44705.0	0.00038238816183388933	1695750.0667734107	0.0007529016786366658	50654.24610051993	116910000	2308	85110.81794195251	290313000	3411	83963.44747979993	436442000	5198	0.40270328920854387
Dai	Brahui	EAS	SAS	9	25	36331.0	0.00038189290894948176	1696250.309044637	0.0007531237828565689	47567.0	95134000	2000	84013.2362673726	253888000	3022	83963.44747979993	436442000	5198	0.3747085328963953
Lahu	Brahui	EAS	SAS	8	25	36974.0	0.00038654706644921174	1697207.9271229745	0.0007535489588732474	51178.17014446228	95652000	1869	89675.22935779816	244365000	2725	83963.44747979993	436442000	5198	0.39143085139033823
Miao	Brahui	EAS	SAS	10	25	42199.0	0.00039272053828185344	1695415.3491285902	0.0007527530662428983	50235.15661524077	107453000	2139	87096.5890978642	273222000	3137	83963.44747979993	436442000	5198	0.39328092174129464
Han	Brahui	EAS	SAS	33	25	53515.0	0.0003660496867219349	1696339.1335129312	0.0007531632203259184	47420.045410314626	146196000	3083	78911.08476585655	399369000	5061	83963.44747979993	436442000	5198	0.3660674714361906
She	Brahui	EAS	SAS	10	25	39061.5	0.000370574339708561	1695105.4574320677	0.0007526154764039951	51950.714637752586	105408000	2029	88498.33222148099	265318000	2998	83963.44747979993	436442000	5198	0.39728929058714446
Adygei	Brahui	EUR	SAS	16	25	68697.5	0.0003521901178111126	1629864.6057620465	0.0007236489749716775	56310.046189376444	195058000	3464	87799.51219512195	359978000	4100	83963.44747979993	436442000	5198	0.5418608914989249
Basque	Brahui	EUR	SAS	23	25	66347.0	0.00035556686942308206	1632825.0785489804	0.0007249634050722654	55075.26564344746	186595000	3388	84647.71598808342	340961000	4028	83963.44747979993	436442000	5198	0.5472620035722561
Sardinian	Brahui	EUR	SAS	28	25	66645.5	0.0003511243058702043	1638703.8351584845	0.0007275735336556679	54541.9540229885	189806000	3480	83547.36098020735	354575000	4244	83963.44747979993	436442000	5198	0.5353056476062892
BergamoItalian	Brahui	EUR	SAS	12	25	58059.0	0.0003505576051056944	1632541.0276017014	0.0007248372883530536	57706.96864111498	165619000	2870	89985.15151515152	296951000	3300	83963.44747979993	436442000	5198	0.5577317469885604
Tuscan	Brahui	EUR	SAS	8	25	52540.5	0.00038010026912058337	1634142.2454174452	0.0007255482183450129	56258.85225885226	138228000	2457	89399.92503748125	238519000	2668	83963.44747979993	436442000	5198	0.5795261593416038
French	Brahui	EUR	SAS	28	25	74984.5	0.00035568357540627463	1632809.517127024	0.0007249564959050817	54715.28678951466	210818000	3853	81519.47236180905	389337000	4776	83963.44747979993	436442000	5198	0.5414794894911092
Orcadian	Brahui	EUR	SAS	15	25	61053.0	0.00035510382132263133	1630312.4345575282	0.0007238478079591953	54947.26749760307	171930000	3129	85381.43762049022	310020000	3631	83963.44747979993	436442000	5198	0.5545771240565125
Bedouin	Brahui	MID	SAS	46	25	80092.0	0.00036121246014314643	1687885.6619909387	0.0007494099355559961	53326.358826358824	221731000	4158	79872.41706161137	421327000	5275	83963.44747979993	436442000	5198	0.5262681954871157
Palestinian	Brahui	MID	SAS	46	25	79630.0	0.0003547151320771527	1674057.8405932814	0.0007432704754160984	51989.34691987031	224490000	4318	78281.71573973101	430706000	5502	83963.44747979993	436442000	5198	0.5212140067702795
Druze	Brahui	MID	SAS	42	25	76166.5	0.0003484366065097555	1645908.3120333895	0.0007307722731628029	52941.39016711068	218595000	4129	79069.13866357667	409420000	5178	83963.44747979993	436442000	5198	0.5339138293195251
Russian	Brahui	EUR	SAS	25	25	76027.0	0.00035588499634879323	1635004.660920868	0.0007259311250556962	54552.60469867211	213628000	3916	83296.06707925734	417230000	5009	83963.44747979993	436442000	5198	0.5120149557797857
Balochi	Brahui	SAS	SAS	24	25	84603.5	0.0003473777350758985	1637544.180423577	0.0007270586547158651	55732.036613272314	243549000	4370	83252.24382946896	445233000	5348	83963.44747979993	436442000	5198	0.5470147091522866
Brahui	Brahui	SAS	SAS	25	25	1269544.0	0.0029088492858157554	1599343.0480720669	0.0007100976076625102	83963.44747979993	436442000	5198	83963.44747979993	436442000	5198	83963.44747979993	436442000	5198	1.0
Makrani	Brahui	SAS	SAS	25	25	83407.5	0.00035062257234618556	1654850.583498192	0.0007347425818354041	55671.42522817692	237884000	4273	82959.94608126325	430811000	5193	83963.44747979993	436442000	5198	0.552177172820564
Kalash	Brahui	SAS	SAS	22	25	64312.5	0.0003584826256117546	1631789.0638527567	0.0007245034214820165	53874.474474474475	179402000	3330	85339.24441017733	332055000	3891	83963.44747979993	436442000	5198	0.5402779659996085
Pathan	Brahui	SAS	SAS	24	25	82915.0	0.0003445789541489525	1635785.3321839173	0.0007262777378708333	54012.79461279461	240627000	4455	83494.3231441048	478005000	5725	83963.44747979993	436442000	5198	0.5033985000156902
Sindhi	Brahui	SAS	SAS	24	25	84825.5	0.0003445837801826395	1650884.6304587813	0.0007329817252331997	54911.44322997992	246168000	4483	83600.0	469832000	5620	83963.44747979993	436442000	5198	0.523948986020535
Mozabite	Brahui	MID	SAS	27	25	60525.5	0.00037973448606867474	1763935.0857513258	0.0007831753706460231	54343.33446982611	159389000	2933	86723.33044232437	299976000	3459	83963.44747979993	436442000	5198	0.5313391738005707
Burusho	Makrani	SAS	SAS	24	25	83027.0	0.0003621158132090037	1659284.9263622458	0.0007367114003844425	53371.275605214156	229283000	4296	83004.2372881356	470136000	5664	82959.94608126325	430811000	5193	0.48769504994299523
Hazara	Makrani	SAS	SAS	19	25	72301.0	0.00036156465816859784	1674846.840302675	0.0007436207860056634	52929.32768660667	199967000	3778	84074.29015947103	432310000	5142	82959.94608126325	430811000	5193	0.46255464828479564
Uygur	Makrani	SAS	SAS	10	25	60812.0	0.0003672355278572895	1676406.8564130026	0.000744313422716214	53869.22576447625	165594000	3074	88113.44113188479	348753000	3958	82959.94608126325	430811000	5193	0.4748174209254114
Bougainville	Makrani	OCE	SAS	11	25	34794.0	0.0003802830755779004	1754826.7563243224	0.0007791313333497633	52312.75014293882	91495000	1749	100468.92870758673	263530000	2623	82959.94608126325	430811000	5193	0.3471900732364437
PapuanHighlands	Makrani	OCE	SAS	9	25	27735.0	0.0004108584549292645	1763703.6873919244	0.000783072631323383	49201.895043731776	67505000	1372	96848.01864801865	207739000	2145	82959.94608126325	430811000	5193	0.32495102027062805
PapuanSepik	Makrani	OCE	SAS	8	25	29178.0	0.0004214525075109776	1763370.9600512849	0.0007829249026113491	49807.19424460432	69232000	1390	95321.77088087631	208850000	2191	82959.94608126325	430811000	5193	0.3314915010773282
Colombian	Makrani	AMR	SAS	7	25	27223.0	0.00040357275220517384	1697264.939381525	0.0007535742719344152	50189.732142857145	67455000	1344	90187.00114025085	158188000	1754	82959.94608126325	430811000	5193	0.42642299036589376
Karitiana	Makrani	AMR	SAS	12	25	27265.5	0.000400786417756872	1694377.3634618504	0.0007522922075549336	49985.304922850846	68030000	1361	89790.09566685425	159557000	1777	82959.94608126325	430811000	5193	0.4263680064177692
Surui	Makrani	AMR	SAS	8	25	24817.5	0.0004241365166715089	1692295.3687655404	0.0007513678158462268	51644.30714916152	58513000	1133	94387.41958541816	132048000	1399	82959.94608126325	430811000	5193	0.4431191687871077
Pima	Makrani	AMR	SAS	13	25	34222.5	0.0004111798630301574	1693369.7660643763	0.00075184484105511	52511.04100946372	83230000	1585	90849.21014839636	189784000	2089	82959.94608126325	430811000	5193	0.4385511950427855
Maya	Makrani	AMR	SAS	21	25	47687.5	0.0003844494965374352	1695746.6917127676	0.0007529001801323323	51362.73291925466	124041000	2415	86030.21718602456	273318000	3177	82959.94608126325	430811000	5193	0.4538339955656049
Yakut	Makrani	EAS	SAS	25	25	62154.0	0.0003795270109362692	1700764.9809047466	0.0007551282669421499	51466.68761785041	163767000	3182	85160.19310950187	388075000	4557	82959.94608126325	430811000	5193	0.4219983250660311
Oroqen	Makrani	EAS	SAS	9	25	41088.0	0.00039247301556977746	1707023.4840459342	0.0007579070004436728	49710.35137701804	104690000	2106	83778.13504823152	260550000	3110	82959.94608126325	430811000	5193	0.4018038764152754
Daur	Makrani	EAS	SAS	9	25	40440.5	0.0003751437847866419	1708138.222916747	0.0007584019370404754	51976.85631629701	107800000	2074	87494.140625	268782000	3072	82959.94608126325	430811000	5193	0.40106852393389436
Hezhen	Makrani	EAS	SAS	9	25	40842.0	0.00039492539911233163	1709944.866161238	0.0007592040745477219	49767.56496631377	103417000	2078	85640.29706167258	265228000	3097	82959.94608126325	430811000	5193	0.3899173541255071
Mongolian	Makrani	EAS	SAS	9	25	43524.0	0.00039048285514345696	1706709.9100099625	0.0007577677756707031	51176.308539944905	111462000	2178	87875.03914813655	280585000	3193	82959.94608126325	430811000	5193	0.39724860559188835
Xibo	Makrani	EAS	SAS	9	25	44166.0	0.0003927996513665187	1707672.1378586057	0.0007581949983945404	51530.24747937672	112439000	2182	88987.14239794278	276839000	3111	82959.94608126325	430811000	5193	0.4061530347963979
Japanese	Makrani	EAS	SAS	27	25	48504.5	0.00037354254909510975	1711933.7230473948	0.0007600871136921666	46574.60545193687	129850000	2788	78430.189501198	360073000	4591	82959.94608126325	430811000	5193	0.3606213184548689
NorthernHan	Makrani	EAS	SAS	10	25	40288.0	0.0003867375736748133	1710337.3041707699	0.0007593783143970528	47052.393857271905	104174000	2214	85439.47858472998	275286000	3222	82959.94608126325	430811000	5193	0.37842098762741294
Naxi	Makrani	EAS	SAS	8	25	38522.5	0.00039512687960284736	1712003.10749082	0.0007601179199206019	50073.959938366716	97494000	1947	88766.8252889191	261152000	2942	82959.94608126325	430811000	5193	0.3733228158313932
Yi	Makrani	EAS	SAS	10	25	42789.0	0.00039049609403519017	1713455.326819541	0.0007607626955816891	50659.26953305594	109576000	2163	87185.6014580802	287015000	3292	82959.94608126325	430811000	5193	0.3817779558559657
Tu	Makrani	EAS	SAS	10	25	45152.5	0.000382911150874753	1707242.1532672674	0.0007580040881142168	51269.13043478261	117919000	2300	86606.52870883125	297147000	3431	82959.94608126325	430811000	5193	0.39683725563441663
Tujia	Makrani	EAS	SAS	9	25	38006.0	0.0003847501037648941	1713420.3126478437	0.0007607471495238334	50015.696202531646	98781000	1975	89896.23908663532	267711000	2978	82959.94608126325	430811000	5193	0.3689837175162769
Cambodian	Makrani	EAS	SAS	9	25	44901.5	0.00039145881101627683	1712062.3917879309	0.0007601442417516819	50463.26440827101	114703000	2273	85110.81794195251	290313000	3411	82959.94608126325	430811000	5193	0.39510114944904295
Dai	Makrani	EAS	SAS	9	25	37603.5	0.0003897543532338308	1712695.4908072748	0.0007604253334784328	48312.46870305458	96480000	1997	84013.2362673726	253888000	3022	82959.94608126325	430811000	5193	0.3800100831862869
Lahu	Makrani	EAS	SAS	8	25	34924.0	0.0003820881152697395	1713324.9539107373	0.0007607048108828704	50666.851441241684	91403000	1804	89675.22935779816	244365000	2725	82959.94608126325	430811000	5193	0.3740429275878297
Miao	Makrani	EAS	SAS	10	25	41251.5	0.0003962299490923062	1711970.177833405	0.0007601032993731342	49765.77437858508	104110000	2092	87096.5890978642	273222000	3137	82959.94608126325	430811000	5193	0.38104545021996766
Han	Makrani	EAS	SAS	33	25	53042.5	0.0003765137210920087	1713244.2731463604	0.0007606689891635479	46571.239669421484	140878000	3025	78911.08476585655	399369000	5061	82959.94608126325	430811000	5193	0.3527514654367264
She	Makrani	EAS	SAS	10	25	38112.5	0.0003836687236377181	1711882.9330960289	0.0007600645632937379	50322.695035460994	99337000	1974	88498.33222148099	265318000	2998	82959.94608126325	430811000	5193	0.3744073149955902
Adygei	Makrani	EUR	SAS	16	25	70777.5	0.0003633677649885513	1644037.2423764856	0.0007299415307597025	55907.577497129736	194782000	3484	87799.51219512195	359978000	4100	82959.94608126325	430811000	5193	0.5410941779775431
Basque	Makrani	EUR	SAS	23	25	65892.0	0.00037136689755454234	1647037.2934945133	0.0007312735333743664	52948.672038197554	177431000	3351	84647.71598808342	340961000	4028	82959.94608126325	430811000	5193	0.5203850293728608
Sardinian	Makrani	EUR	SAS	28	25	68000.0	0.0003628253422830251	1652340.3862423268	0.0007336280710565567	54104.50346420323	187418000	3464	83547.36098020735	354575000	4244	82959.94608126325	430811000	5193	0.5285708242261863
BergamoItalian	Makrani	EUR	SAS	12	25	59333.5	0.00036248808680139783	1646809.2551127027	0.0007311722858592858	56657.6670128072	163684000	2889	89985.15151515152	296951000	3300	82959.94608126325	430811000	5193	0.5512155204057235
Tuscan	Makrani	EUR	SAS	8	25	51199.5	0.00037769999114757	1648295.786836203	0.0007318322959939747	54903.19967598218	135556000	2469	89399.92503748125	238519000	2668	82959.94608126325	430811000	5193	0.5683236974832193
French	Makrani	EUR	SAS	28	25	75247.5	0.00036428353577358963	1647049.3699785906	0.0007312788952524592	53375.45219638243	206563000	3870	81519.47236180905	389337000	4776	82959.94608126325	430811000	5193	0.530550654060621
Orcadian	Makrani	EUR	SAS	15	25	60108.0	0.0003533187557311138	1644659.6975102734	0.0007302178966725145	54667.09511568124	170124000	3112	85381.43762049022	310020000	3631	82959.94608126325	430811000	5193	0.548751693439133
Bedouin	Makrani	MID	SAS	46	25	79943.5	0.00036795049409252213	1699397.0790109057	0.0007545209276577454	52824.4590323365	217267000	4113	79872.41706161137	421327000	5275	82959.94608126325	430811000	5193	0.5156730995165275
Palestinian	Makrani	MID	SAS	46	25	80520.0	0.00036157400546941304	1685938.0579339953	0.000748545212391584	51801.11653872994	222693000	4299	78281.71573973101	430706000	5502	82959.94608126325	430811000	5193	0.5170417872051933
Druze	Makrani	MID	SAS	42	25	76512.0	0.00035259961104915343	1659103.01932355	0.0007366306348769108	52212.223291626564	216994000	4156	79069.13866357667	409420000	5178	82959.94608126325	430811000	5193	0.5300034194714475
Russian	Makrani	EUR	SAS	25	25	73302.5	0.0003557700241216469	1650047.6760970254	0.0007326101230989846	53075.47655847501	206039000	3882	83296.06707925734	417230000	5009	82959.94608126325	430811000	5193	0.4938259473192244
Balochi	Makrani	SAS	SAS	24	25	86438.5	0.0003567490043129243	1653114.6745122126	0.0007339718498654557	55230.22566674265	242295000	4387	83252.24382946896	445233000	5348	82959.94608126325	430811000	5193	0.5441982063324147
Brahui	Makrani	SAS	SAS	25	25	83407.5	0.00035062257234618556	1654850.583498192	0.0007347425818354041	55671.42522817692	237884000	4273	83963.44747979993	436442000	5198	82959.94608126325	430811000	5193	0.5450529509075662
Makrani	Makrani	SAS	SAS	25	25	1259280.5	0.0029230463010461666	1631759.8851951368	0.0007244904663533493	82959.94608126325	430811000	5193	82959.94608126325	430811000	5193	82959.94608126325	430811000	5193	1.0
Kalash	Makrani	SAS	SAS	22	25	65009.0	0.00036644607787874006	1647698.3078729182	0.0007315670193336806	54218.82640586797	177404000	3272	85339.24441017733	332055000	3891	82959.94608126325	430811000	5193	0.5342608905151255
Pathan	Makrani	SAS	SAS	24	25	83542.0	0.00034809601786689	1651826.2493240451	0.0007333997977063691	53618.6327077748	239997000	4476	83494.3231441048	478005000	5725	82959.94608126325	430811000	5193	0.5020805221702702
Sindhi	Makrani	SAS	SAS	24	25	85509.0	0.0003518816485257505	1666618.9678173473	0.0007399676656979056	54792.55918827508	243005000	4435	83600.0	469832000	5620	82959.94608126325	430811000	5193	0.5172167923853633
Mozabite	Makrani	MID	SAS	27	25	60836.0	0.0003861965643766743	1772752.7841303698	0.0007870903697024148	53635.00170241743	157526000	2937	86723.33044232437	299976000	3459	82959.94608126325	430811000	5193	0.5251286769608235
Burusho	Kalash	SAS	SAS	24	22	67268.5	0.0003593479561529093	1620430.0482169208	0.0007194600945746771	54024.819624819625	187196000	3465	83004.2372881356	470136000	5664	85339.24441017733	332055000	3891	0.3981741453536849
Hazara	Kalash	SAS	SAS	19	22	60422.5	0.00037418409938195916	1637577.4878893783	0.0007270734430077274	53275.48663807324	161478000	3031	84074.29015947103	432310000	5142	85339.24441017733	332055000	3891	0.3735236288774259
Uygur	Kalash	SAS	SAS	10	22	50769.5	0.00037049104960119097	1638168.8304740854	0.0007273359951570086	54638.35725677831	137033000	2508	88113.44113188479	348753000	3958	85339.24441017733	332055000	3891	0.39292278489360666
Bougainville	Kalash	OCE	SAS	11	22	28856.5	0.00038196751691000307	1716987.6094850916	0.0007623310054408021	52390.42995839113	75547000	1442	100468.92870758673	263530000	2623	85339.24441017733	332055000	3891	0.2866732440329374
PapuanHighlands	Kalash	OCE	SAS	9	22	24486.0	0.00041211121583411875	1726042.4760313274	0.0007663513055758709	52955.4367201426	59416000	1122	96848.01864801865	207739000	2145	85339.24441017733	332055000	3891	0.286012737136503
PapuanSepik	Kalash	OCE	SAS	8	22	25351.0	0.0004137115067643651	1726330.790442252	0.0007664793152444026	53099.653379549396	61277000	1154	95321.77088087631	208850000	2191	85339.24441017733	332055000	3891	0.293401963131434
Colombian	Kalash	AMR	SAS	7	22	25404.5	0.0004075283133883025	1652302.9836720456	0.0007336114645657173	54396.160558464224	62338000	1146	90187.00114025085	158188000	1754	85339.24441017733	332055000	3891	0.3940754039497307
Karitiana	Kalash	AMR	SAS	12	22	25388.5	0.00039652802723850875	1647978.5484896607	0.0007316914442916399	53444.9081803005	64027000	1198	89790.09566685425	159557000	1777	85339.24441017733	332055000	3891	0.4012797934280539
Surui	Kalash	AMR	SAS	8	22	22672.5	0.00042116359853621387	1648648.5103252346	0.0007319889028620445	55043.9672801636	53833000	978	94387.41958541816	132048000	1399	85339.24441017733	332055000	3891	0.4076775112080456
Pima	Kalash	AMR	SAS	13	22	29597.0	0.000391065364745055	1648551.8926397827	0.0007319460052564433	55283.418553688825	75683000	1369	90849.21014839636	189784000	2089	85339.24441017733	332055000	3891	0.39878493445179786
Maya	Kalash	AMR	SAS	21	22	42652.0	0.00039326547171203067	1652811.8285133825	0.0007338373882691655	53691.08910891089	108456000	2020	86030.21718602456	273318000	3177	85339.24441017733	332055000	3891	0.39681250411608454
Yakut	Kalash	EAS	SAS	25	22	54079.0	0.00038561751283513974	1659505.0537018683	0.0007368091354497466	52960.7250755287	140240000	2648	85160.19310950187	388075000	4557	85339.24441017733	332055000	3891	0.3613734458545384
Oroqen	Kalash	EAS	SAS	9	22	33707.5	0.00039463209038225134	1664927.2492682724	0.0007392165539861408	49060.88454910971	85415000	1741	83778.13504823152	260550000	3110	85339.24441017733	332055000	3891	0.32782575321435425
Daur	Kalash	EAS	SAS	9	22	34921.0	0.00038888393950867504	1667157.6069158015	0.0007402068178520772	51697.17904432931	89798000	1737	87494.140625	268782000	3072	85339.24441017733	332055000	3891	0.33409231272927503
Hezhen	Kalash	EAS	SAS	9	22	36812.5	0.00042178924573484425	1667468.4943337913	0.0007403448497846466	49901.086335048596	87277000	1749	85640.29706167258	265228000	3097	85339.24441017733	332055000	3891	0.32906405055273197
Mongolian	Kalash	EAS	SAS	9	22	36071.5	0.00039507896869729034	1665399.9073694092	0.0007394264110191671	50667.036625971145	91302000	1802	87875.03914813655	280585000	3193	85339.24441017733	332055000	3891	0.3253987205303206
Xibo	Kalash	EAS	SAS	9	22	38006.5	0.0003991985883390927	1666557.4396802858	0.0007399403476169072	52054.12793876435	95207000	1829	88987.14239794278	276839000	3111	85339.24441017733	332055000	3891	0.3439074696845459
Japanese	Kalash	EAS	SAS	27	22	43070.0	0.00039087740951827783	1670733.4945508407	0.0007417944880257602	47991.289198606275	110188000	2296	78430.189501198	360073000	4591	85339.24441017733	332055000	3891	0.3060157245891805
NorthernHan	Kalash	EAS	SAS	10	22	37752.0	0.00040875722731111545	1667896.3738093418	0.0007405348254076517	49869.330453563714	92358000	1852	85439.47858472998	275286000	3222	85339.24441017733	332055000	3891	0.3354983544386565
Naxi	Kalash	EAS	SAS	8	22	33078.5	0.000400611602276856	1670578.298723883	0.0007417255821174407	50439.82895540623	82570000	1637	88766.8252889191	261152000	2942	85339.24441017733	332055000	3891	0.31617602009557655
Yi	Kalash	EAS	SAS	10	22	34652.0	0.00038789696976481255	1672192.5436727172	0.0007424422960692912	49601.88784008884	89333000	1801	87185.6014580802	287015000	3292	85339.24441017733	332055000	3891	0.31124854101702004
Tu	Kalash	EAS	SAS	10	22	39223.0	0.000386753569456496	1666818.8060576944	0.0007400563925389425	52411.36950904393	101416000	1935	86606.52870883125	297147000	3431	85339.24441017733	332055000	3891	0.34129908765695094
Tujia	Kalash	EAS	SAS	9	22	34802.0	0.0004119847527049743	1672218.073386143	0.0007424536310911614	50765.625	84474000	1664	89896.23908663532	267711000	2978	85339.24441017733	332055000	3891	0.315541759584029
Cambodian	Kalash	EAS	SAS	9	22	37449.0	0.00039420414951736333	1673258.119277424	0.0007429154045050317	51047.28640515852	94999000	1861	85110.81794195251	290313000	3411	85339.24441017733	332055000	3891	0.32722957635379746
Dai	Kalash	EAS	SAS	9	22	34552.0	0.0004192745937943671	1672641.1834558197	0.000742641489129884	49854.20447670901	82409000	1653	84013.2362673726	253888000	3022	85339.24441017733	332055000	3891	0.32458800731031007
Lahu	Kalash	EAS	SAS	8	22	31030.0	0.00039790213377102995	1673659.7576844369	0.0007430937292692585	50150.48231511254	77984000	1555	89675.22935779816	244365000	2725	85339.24441017733	332055000	3891	0.3191291715262006
Miao	Kalash	EAS	SAS	10	22	33994.5	0.00039327279037482647	1670451.6188220882	0.0007416693370890136	50343.62259755388	86440000	1717	87096.5890978642	273222000	3137	85339.24441017733	332055000	3891	0.3163727664682932
Han	Kalash	EAS	SAS	33	22	44551.0	0.00038234965971214996	1672083.26920733	0.0007423937789381206	47002.42033077854	116519000	2479	78911.08476585655	399369000	5061	85339.24441017733	332055000	3891	0.291757747847229
She	Kalash	EAS	SAS	10	22	33374.5	0.0004063025005478318	1671184.8302380517	0.0007419948780497313	50548.92307692308	82142000	1625	88498.33222148099	265318000	2998	85339.24441017733	332055000	3891	0.30959829336871225
Adygei	Kalash	EUR	SAS	16	22	56525.5	0.00036903767056212054	1613507.0468961748	0.0007163863283294477	55718.44307020735	153170000	2749	87799.51219512195	359978000	4100	85339.24441017733	332055000	3891	0.42549822489152117
Basque	Kalash	EUR	SAS	23	22	54700.0	0.00038195123313688794	1616032.8311090968	0.0007175077596128923	53377.56243011554	143212000	2683	84647.71598808342	340961000	4028	85339.24441017733	332055000	3891	0.4200245775909855
Sardinian	Kalash	EUR	SAS	28	22	55375.0	0.00037111626410744447	1625891.5898288928	0.0007218849824919289	53750.7204610951	149212000	2776	83547.36098020735	354575000	4244	85339.24441017733	332055000	3891	0.42081929070013396
BergamoItalian	Kalash	EUR	SAS	12	22	49825.0	0.0003663360512907234	1616596.1122037647	0.0007177578526484342	59108.64841373316	136009000	2301	89985.15151515152	296951000	3300	85339.24441017733	332055000	3891	0.45801832625584693
Tuscan	Kalash	EUR	SAS	8	22	42457.0	0.0003862606670427046	1620020.3255796155	0.0007192781804663147	57129.93762993763	109918000	1924	89399.92503748125	238519000	2668	85339.24441017733	332055000	3891	0.4608354051459213
French	Kalash	EUR	SAS	28	22	58105.0	0.0003540009016802934	1615735.5860986225	0.0007173757848179403	53343.516412089695	164138000	3077	81519.47236180905	389337000	4776	85339.24441017733	332055000	3891	0.4215833583759057
Orcadian	Kalash	EUR	SAS	15	22	52297.5	0.0003667220632783575	1610408.3522230883	0.0007150105286366378	55446.345256609646	142608000	2572	85381.43762049022	310020000	3631	85339.24441017733	332055000	3891	0.4599961292819818
Bedouin	Kalash	MID	SAS	46	22	62302.0	0.0003695912677226078	1679527.0352938066	0.0007456987612534395	52318.435754189944	168570000	3222	79872.41706161137	421327000	5275	85339.24441017733	332055000	3891	0.40009303937321844
Palestinian	Kalash	MID	SAS	46	22	61525.0	0.000367076750513102	1664131.6884573228	0.0007388633303114036	50062.12664277181	167608000	3348	78281.71573973101	430706000	5502	85339.24441017733	332055000	3891	0.38914712123815315
Druze	Kalash	MID	SAS	42	22	60562.0	0.00036624113303620565	1634798.9506590485	0.0007258397910764316	51147.85029384473	165361000	3233	79069.13866357667	409420000	5178	85339.24441017733	332055000	3891	0.4038908700112354
